,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
126,1961524,110,9003,서울특별시,582,노원구,11,4,병원,351,962515,8628,15,219.2,848.6
127,1795888,540,9003,충청북도,41,영동군,33,2.8,병원,515.1,1028265,521,13,437.9,1078.4
128,1961986,101,9003,경기도,391,고양시 덕양구,31,3.1,병원,483.3,945187,5482,14,354,1171.6
129,1953308,130,9003,서울특별시,348,서대문구,11,2.4,병원,386.6,950469,9384,27,333.5,854.9
130,1921449,070,9003,강원도,42,삼척시,32,3.3,병원,703.7,1148603,663,16,753.2,1503.2
131,1684330,113,9003,경상남도,188,창원시 마산합포구,38,6.5,병원,411.1,1089770,4060,22,352.8,937.6
132,1826084,550,9003,충청남도,20,청양군,34,1.1,병원,685,942011,328,16,695.3,1452.4
133,1888810,580,9003,충청북도,14,단양군,33,1,병원,920.4,1079003,151,11,1145.6,1895.8
134,1892961,220,9003,경기도,139,안성시,31,1.1,병원,577.7,982460,2133,15,809.6,1328.3
135,1945217,240,9003,서울특별시,951,송파구,11,6.6,병원,272.7,965995,18134,19,416.1,652.1
136,1962587,130,9003,경기도,587,남양주시,31,4.6,병원,453.5,977390,6920,12,363.2,1188.6
137,1480595,020,9003,제주특별자치도,172,서귀포시,39,24.2,병원,430.3,912401,1666,10,460.3,986.5
138,1882687,610,9003,경상북도,14,봉화군,37,0.6,병원,1013.3,1125833,177,13,875.3,2038.6
139,1743652,580,9003,전라북도,47,부안군,35,2.5,병원,474.2,923643,735,16,477.4,986.1
140,1670790,060,9003,전라남도,112,광양시,36,6.8,병원,530.1,1015321,1515,14,802.8,1257.9
141,1945542,200,9003,서울특별시,461,동작구,11,3.2,병원,369.5,951541,7609,17,233,805
142,1736517,040,9003,울산광역시,137,북구,26,12.6,병원,591.5,1170272,1883,14,787.8,1544.2
143,1877206,012,9003,충청남도,379,천안시 서북구,34,21.1,병원,449.2,969859,6138,16,504.8,1039.2
144,1957902,120,9003,서울특별시,531,은평구,11,3.7,병원,364.6,949435,7634,14,196.8,844
145,1946531,580,9003,경기도,87,양평군,31,0.7,병원,565.9,1007005,1301,15,434.9,1293.6
146,1956365,080,9003,서울특별시,417,성북구,11,2.9,병원,436,957400,6908,17,290.1,1005.2
147,1774811,020,9003,전라북도,250,군산시,35,13.1,병원,457.1,931192,4463,18,460.2,1031.2
148,1918544,520,9003,인천광역시,3,옹진군,23,0.1,병원,3102,907478,43,14,2631,5927.7
149,2022035,060,9003,강원도,102,속초시,32,8,병원,359.4,1090569,1128,11,338.9,768.6
150,1944433,060,9003,인천광역시,502,부평구,23,18.2,병원,393.2,931150,8038,16,325.6,932.6
151,1632094,580,9003,전라남도,36,장흥군,36,2.2,병원,459.3,948681,511,14,452.6,925.9
152,1937197,022,9003,경기도,246,성남시 중원구,31,1.9,병원,370.5,970272,1974,8,408.3,826.5
153,1925484,092,9003,경기도,377,안산시 단원구,31,3,병원,329.1,937215,8062,21,650.1,775.9
154,1944250,230,9003,서울특별시,2377,강남구,11,16.4,병원,88.8,961366,34682,15,336.7,206
155,1990823,080,9003,경기도,76,동두천시,31,0.6,병원,516.6,962902,1424,19,396.8,1183.1
156,1947168,190,9003,서울특별시,620,영등포구,11,4.3,병원,271.8,947876,10357,17,695.6,575.7
157,1947646,040,9003,강원도,85,동해시,32,6.6,병원,451.7,1138454,1435,17,431.6,1004.5
158,1987802,010,9003,강원도,269,춘천시,32,21,병원,452.9,1021092,5792,22,467.9,1038.2
159,2041782,600,9003,강원도,12,고성군,32,0.9,병원,999.3,1080768,48,4,1288.5,2056.6
160,1780280,590,9003,경상북도,77,칠곡군,37,3.6,병원,622.5,1086737,936,12,871.8,1417.4
161,1773695,011,9003,경상북도,179,포항시 남구,37,8.3,병원,553.8,1173012,4652,26,719.6,1242.1
162,1960547,090,9003,서울특별시,371,강북구,11,2.6,병원,351.3,956880,4425,12,209,769.2
163,1818852,530,9003,경상북도,18,청송군,37,0.8,병원,658.9,1139734,299,17,679.2,1271.3
164,1843816,041,9003,충청북도,200,청주시 상당구,33,13.8,병원,383.5,1005594,2743,14,310.5,931.7
165,1796800,012,9003,경상북도,299,포항시 북구,37,13.9,병원,382.2,1158472,5442,18,318.7,892.1
166,1682534,560,9003,경상남도,36,하동군,38,1.2,병원,540.5,1027810,421,12,499.4,1090.8
167,1695477,114,9003,경상남도,196,창원시 마산회원구,38,6.7,병원,391.5,1094321,4776,24,359.5,931.3
168,1784988,030,9003,경상북도,96,김천시,37,4.5,병원,626.2,1052027,1831,19,665,1395.1
169,1912161,530,9003,강원도,19,영월군,32,1.5,병원,904.7,1088784,347,18,1072.7,1847.4
