"구분별(1)",구분별(2),구분별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분별(1)",구분별(2),구분별(3),도보,자전거,자전거 + 기타교통수단,오토바이,버스,지하철(철도),버스 + 지하철,택시,승용차,승용차 + 버스,승용차 + 지하철,개인형 이동수단,도보,자전거,자전거 + 기타교통수단,오토바이,버스,지하철(철도),버스 + 지하철,택시,승용차,승용차 + 버스,승용차 + 지하철,개인형 이동수단,기타
"서울시",소계,소계,18.8,2.9,0.4,0.5,21.7,19.0,17.2,0.2,16.4,0.9,1.7,0.2,16.5,2.0,0.1,0.7,25.6,17.5,12.5,0.1,22.7,0.3,1.6,0.2,0.1
"서울시",성별,남자,14.8,3.3,0.4,0.9,18.7,19.3,16.2,0.2,22.7,1.0,2.2,0.3,12.4,3.0,0.1,1.1,20.1,17.7,12.2,0.1,31.2,0.4,1.5,0.3,0.1
"서울시",성별,여자,24.0,2.3,0.3,0.1,25.5,18.7,18.5,0.2,8.4,0.8,1.1,0.2,21.9,0.8,0.1,0.2,32.9,17.4,12.9,0.1,11.5,0.3,1.8,0.0,0.0
"서울시",연령별,10대,47.9,7.1,0.3,0.1,26.9,6.2,8.0,0.5,2.0,0.7,0.2,0.1,52.8,7.3,0.1,-,24.8,7.6,6.9,-,0.2,0.1,0.1,0.1,-
"서울시",연령별,20대,14.1,2.5,0.1,0.3,24.2,25.8,26.4,0.2,4.7,0.6,0.8,0.3,9.4,0.8,0.1,0.8,27.6,27.4,25.3,0.0,6.2,0.1,1.3,0.9,0.1
"서울시",연령별,30대,11.4,2.8,0.6,0.7,20.9,25.3,20.3,0.4,14.4,0.8,2.0,0.4,8.2,1.6,0.1,0.3,30.1,21.6,13.3,0.0,22.9,0.3,1.5,0.0,0.0
"서울시",연령별,40대,13.1,2.5,0.4,0.4,19.3,20.3,17.4,0.1,22.0,1.5,2.7,0.3,11.1,1.6,0.0,0.7,24.7,16.2,9.0,0.0,33.7,0.3,2.4,0.0,0.1
"서울시",연령별,50대,18.7,2.1,0.5,0.7,18.7,13.9,13.5,0.1,28.1,1.2,2.3,-,14.7,1.6,0.0,0.7,21.4,13.0,9.0,0.1,36.3,0.6,2.4,0.1,0.1
"서울시",연령별,60대 이상,29.3,3.0,0.4,0.9,23.3,11.8,9.0,0.1,20.1,0.7,1.3,-,30.0,3.1,0.2,1.2,24.0,10.4,5.4,0.2,24.0,0.5,1.0,0.0,0.0
"서울시",학력별,중졸 이하,43.9,6.5,1.2,2.1,25.8,7.4,6.4,-,5.9,0.4,0.5,-,53.5,4.0,0.7,0.8,26.3,4.9,3.7,-,4.9,0.7,0.3,-,-
"서울시",학력별,고졸 이하,30.6,4.1,0.2,0.9,25.8,11.4,10.5,0.2,14.4,0.6,1.1,0.2,29.7,3.7,0.1,1.5,30.9,10.2,6.8,0.2,16.0,0.3,0.6,0.1,0.0
"서울시",학력별,대졸 이하,12.0,2.1,0.3,0.3,20.8,23.5,20.5,0.2,17.1,1.1,1.8,0.2,9.2,1.2,0.0,0.4,23.9,21.3,15.3,0.0,25.8,0.3,2.1,0.3,0.1
"서울시",학력별,대학원 이상,11.5,2.2,0.8,0.1,11.1,19.8,23.0,0.3,25.1,1.6,3.9,0.5,15.6,2.3,-,0.0,11.0,12.1,12.6,0.2,44.0,0.8,1.2,-,0.2
"서울시",소득별,200만원 미만,32.9,3.3,0.3,0.5,21.4,16.5,17.9,0.1,6.0,0.3,0.5,0.4,41.4,3.8,1.0,2.7,25.6,7.8,14.2,-,3.3,0.0,0.2,-,-
"서울시",소득별,200-300만원 미만,23.1,3.3,0.7,0.8,25.4,17.8,19.1,0.2,7.4,0.6,1.3,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",소득별,300-400만원 미만,20.3,3.7,0.4,0.7,23.6,18.1,15.1,0.3,15.5,0.8,1.2,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",소득별,400-500만원 미만,19.1,2.9,0.4,0.6,22.3,19.1,16.0,0.2,16.7,0.9,1.6,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",소득별,500만원 이상,15.5,2.5,0.3,0.4,20.0,19.9,17.6,0.2,20.3,1.2,2.2,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-
