,y_coor,sgg_cd,theme_cd,sido_nm,corp_cnt,sgg_nm,sido_cd,upregion_vs_corp_per,theme_cd_nm,corp_vs_family_rate,x_coor,biz_worker_cnt,avg_worker_rate,corp_vs_worker_rate,corp_vs_ppltn_rate
77,1717849,570,J002,전라북도,31,고창군,35,2.7,약국,762.8,920575,67,2,709.5,1600.5
78,1950181,250,J002,서울특별시,273,강동구,11,4.7,약국,679.3,968817,681,2,560.6,1617
79,1723277,080,J002,경상남도,54,밀양시,38,3.5,약국,865.9,1116967,126,2,851.9,1807.3
80,1924643,630,J002,경상북도,3,울릉군,37,0.2,약국,1378.3,1387648,4,1,1518,2625.7
81,1814070,010,J002,대전광역시,140,동구,25,16.9,약국,750.2,997763,329,2,564.6,1616.2
82,1691106,112,J002,경상남도,97,창원시 성산구,38,6.3,약국,1030.3,1106688,273,3,1826,2506.3
83,1889575,070,J002,경기도,258,평택시,31,4.4,약국,900.2,952856,632,2,1058.5,2069.2
84,2015375,570,J002,강원도,8,화천군,32,1,약국,1250.6,1016224,17,2,1166.3,2715.5
85,1950285,040,J002,서울특별시,162,성동구,11,2.8,약국,757.8,959458,423,3,1239.4,1692.4
86,1856632,540,J002,경상북도,7,영양군,37,0.5,약국,1103.3,1146951,12,2,904.9,2162.9
87,1863507,580,J002,충청남도,39,태안군,34,3.5,약국,727.1,891188,86,2,765.4,1488
88,1865384,590,J002,충청북도,30,증평군,33,3.7,약국,530.2,1008335,66,2,550.7,1171.6
89,1964811,104,J002,경기도,136,고양시 일산서구,31,2.3,약국,780.9,931911,390,3,578,2060.5
90,1797615,510,J002,경상북도,11,군위군,37,0.8,약국,981.5,1103262,15,1,1146.3,1874.5
91,1691233,060,J002,부산광역시,150,동래구,21,8.8,약국,715.4,1143740,430,3,639,1711.4
92,1666623,030,J002,전라남도,151,순천시,36,15,약국,756.1,989909,430,3,728.8,1779.1
93,1597073,660,J002,전라남도,27,완도군,36,2.7,약국,789,925448,50,2,685.7,1636.9
94,1770779,050,J002,대구광역시,212,북구,22,14.9,약국,866.6,1097193,542,3,802.5,2050.1
95,1701586,510,J002,부산광역시,64,기장군,21,3.7,약국,1088.2,1154663,178,3,1193,2647.4
96,1677853,030,J002,광주광역시,125,남구,24,15.2,약국,720,941384,319,3,541.4,1702
97,1649301,550,J002,경상남도,20,남해군,38,1.3,약국,980.3,1034901,42,2,867.2,1982.4
98,1678777,100,J002,부산광역시,137,사하구,21,8,약국,947.3,1134460,364,3,814.6,2179.6
99,1955450,070,J002,서울특별시,191,중랑구,11,3.3,약국,875.7,964062,447,2,566.6,1940.2
100,1704023,650,J002,전라남도,19,장성군,36,1.9,약국,923.7,933520,41,2,1378.5,2046.9
101,1689959,090,J002,부산광역시,180,해운대구,21,10.5,약국,895.4,1150545,516,3,844.4,2101.3
102,1728425,580,J002,경상남도,25,함양군,38,1.6,약국,702.5,1020124,60,2,631.9,1431.3
103,1702110,111,J002,경상남도,110,창원시 의창구,38,7.2,약국,808.4,1104503,292,3,886.6,1921
104,1949790,050,J002,서울특별시,186,광진구,11,3.2,약국,827.8,963406,456,2,686.9,1751.6
105,1964703,103,J002,경기도,148,고양시 일산동구,31,2.5,약국,783.6,938035,458,3,1071.6,1920
106,1943469,010,J002,인천광역시,68,중구,23,5.4,약국,915.5,908825,187,3,1682.8,1993.1
107,1838872,042,J002,충청북도,102,청주시 서원구,33,12.7,약국,815.2,993302,263,3,726.4,1855.5
108,1496269,010,J002,제주특별자치도,241,제주시,39,75.3,약국,818,909997,751,3,990.6,1962.6
109,1685766,150,J002,부산광역시,86,사상구,21,5,약국,1073.3,1135398,256,3,1428.4,2380.8
110,1685788,050,J002,광주광역시,176,광산구,24,21.4,약국,928.1,931963,484,3,1043.6,2276.8
111,1760325,060,J002,대구광역시,223,수성구,22,15.6,약국,727.4,1104878,536,2,619.8,1802.9
112,1791331,510,J002,충청남도,43,금산군,34,3.8,약국,541.8,998054,91,2,748.7,1148.2
113,1953724,060,J002,서울특별시,347,동대문구,11,6,약국,441.6,960700,711,2,412.9,941.2
114,1978882,260,J002,경기도,95,양주시,31,1.6,약국,956.2,956087,231,2,1052.5,2399.6
115,2019874,580,J002,강원도,12,양구군,32,1.6,약국,727.8,1043899,26,2,832.3,1673.4
116,2010874,550,J002,경기도,26,연천군,31,0.4,약국,705.5,958251,50,2,814.1,1529.5
117,1933879,040,J002,인천광역시,113,연수구,23,9.1,약국,1299.4,923961,351,3,1269.1,3332.4
118,1934046,041,J002,경기도,114,안양시 만안구,31,1.9,약국,834.5,947401,313,3,780.8,2023
119,1756879,060,J002,전라북도,57,김제시,35,4.9,약국,616,945442,129,2,760.1,1318.4
120,1933789,250,J002,경기도,120,광주시,31,2,약국,1231.9,982402,357,3,1307.2,3074.8
121,1937310,110,J002,경기도,24,과천시,31,0.4,약국,990,956007,56,2,1542.2,2702.1
122,1729068,510,J002,울산광역시,70,울주군,26,15.4,약국,1270.4,1152931,179,3,1726.3,3047.9
123,1937139,050,J002,인천광역시,244,남동구,23,19.6,약국,863.8,931566,672,3,1030.4,2052.1
124,1764377,010,J002,대구광역시,189,중구,22,13.3,약국,183.5,1098725,488,3,462.5,378.7
125,1732068,010,J002,울산광역시,87,중구,26,19.2,약국,1003.7,1163858,240,3,698.8,2358.5
126,1961524,110,J002,서울특별시,238,노원구,11,4.1,약국,858.3,962515,663,3,536,2075.1
127,1795888,540,J002,충청북도,30,영동군,33,3.7,약국,704,1028265,73,2,598.4,1473.8
128,1961986,101,J002,경기도,206,고양시 덕양구,31,3.5,약국,917.2,945187,544,3,672,2223.8
129,1953308,130,J002,서울특별시,167,서대문구,11,2.9,약국,805.7,950469,546,3,695.1,1781.4
130,1921449,070,J002,강원도,30,삼척시,32,3.9,약국,985.1,1148603,80,3,1054.5,2104.5
131,1684330,113,J002,경상남도,91,창원시 마산합포구,38,5.9,약국,849.4,1089770,252,3,728.8,1937
132,1826084,550,J002,충청남도,19,청양군,34,1.7,약국,721.1,942011,34,2,731.9,1528.8
133,1888810,580,J002,충청북도,11,단양군,33,1.4,약국,1171.4,1079003,22,2,1458.1,2412.8
134,1892961,220,J002,경기도,97,안성시,31,1.6,약국,827.8,982460,239,2,1160.2,1903.4
135,1945217,240,J002,서울특별시,425,송파구,11,7.3,약국,610.3,965995,1212,3,931.1,1459.1
